所在城市,所在区县,所在街道或地区,小区名称,面积,租赁方式,朝向,月租,计费方式,室,厅,卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
宝鸡,渭滨,火车站,陕建二建集团北院,72,整租,南,950,,2,1,1,20200801,暂无数据,需提前预约,高楼层,5,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,石坝河,石鼓天玺台,116,整租,东,1000,,2,2,2,随时入住,暂无数据,需提前预约,低楼层,24,有,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,上马营,43,整租,南,500,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,火车站,解放新村,51,整租,南,500,半年付价,2,1,1,随时入住,1年以内,需提前预约,中楼层,5,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,新福路,宝工厂河滩小区,65,整租,南,800,,2,1,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,清姜,凌云电器总公司二现场住宅小区,69,整租,南,900,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
宝鸡,渭滨,火车站,渭工路63号,85,整租,南,750,,3,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,上马营,宝铁华苑小区,65,整租,南,850,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,中滩路11号院,79,整租,东,800,,3,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,蟠龙花园,80,整租,南,700,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,新福路,宝福路97号院,65,整租,南,650,,2,1,1,随时入住,暂无数据,需提前预约,低楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,宝鸡供电局家属院北区,80,整租,南,800,半年付价,2,2,1,随时入住,2年以内,需提前预约,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,火车站,建国新村,54,整租,南,800,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,农牧良种场家属院,93,整租,南,900,,2,2,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,姜谭路,宝管一区,80,整租,南,850,半年付价,2,2,1,随时入住,1年以内,需提前预约,高楼层,5,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,火车站,金陵新村二区,63,整租,南,600,,3,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,群众路,人民路社区,54,整租,南,500,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,8,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,高新区,宝钛新区,60,整租,北,900,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,桥南,绿舟小区,65,整租,东,750,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,公园家属小区,87,整租,南,750,,2,2,1,随时入住,1年以内,需提前预约,高楼层,7,无,免费使用,民水,民电,有,集中供暖
宝鸡,渭滨,高新区,阳光上东,72,整租,北,1000,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,18,有,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,凌云·锦绣,92,整租,南,1000,半年付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,18,有,租用车位,民水,民电,有,集中供暖
宝鸡,渭滨,高新区,樸西佳苑,96,整租,南,900,,2,2,1,随时入住,暂无数据,需提前预约,低楼层,24,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,桥南,轩苑御园华庭,98,整租,南,800,,2,2,1,随时入住,1年以内,需提前预约,低楼层,33,有,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,石坝河,雨虹馨园,71,整租,南,800,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,高新区,樸西佳苑,120,整租,南,900,,3,2,2,随时入住,2年以内,需提前预约,低楼层,18,无,免费使用,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,桥南,西一路4号院,62,整租,南,750,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,大庆路,宝鸡供电局东区家属院,77,整租,南,750,年付价,2,2,1,随时入住,2年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,凌云·锦绣,92,整租,南,1000,半年付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,18,有,租用车位,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,陕开社区,76,整租,东,850,,2,1,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,陈仓园,检察院家属楼,70,整租,南,800,,2,1,1,随时入住,暂无数据,一般下班后可看,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,大庆路,戴家湾小区,95,整租,南,800,,2,2,1,随时入住,暂无数据,需提前预约,中楼层,27,有,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,三迪,光明小区A区,90,整租,南,700,半年付价,2,2,1,随时入住,3年以上,需提前预约,低楼层,33,有,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,火车站,九华园,104,整租,南,1000,,2,1,2,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,新福路,新福园二区,76,整租,南,600,,2,2,1,随时入住,暂无数据,一般下班后可看,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,陕西二建集团广元路22号院,62,整租,南,1000,,2,1,1,随时入住,暂无数据,需提前预约,低楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,東一小區,48,整租,南,750,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,東一小區,48,整租,南,800,半年付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,東一小區,52,整租,南,700,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,高新区,阳光上东,48,整租,北,900,,1,1,1,随时入住,暂无数据,需提前预约,中楼层,18,有,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,高新区,阳光上东,40,整租,南,1000,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,18,有,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,高新区,宏运警苑,37,整租,东,1000,,1,1,1,随时入住,暂无数据,需提前预约,中楼层,13,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,新福路,金利苑二期,12,整租,北,320,,1,0,1,随时入住,暂无数据,需提前预约,中楼层,24,有,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,上馬营東二小區,30,整租,南,400,,2,0,1,随时入住,暂无数据,需提前预约,中楼层,4,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,卧龙寺,朝阳华城,122,整租,南,600,,3,2,2,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,群众路,宝平路轴承厂,60,整租,东,600,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,暂无数据,民电,有,集中供暖
宝鸡,金台,上马营,汽配小区,72,整租,南,600,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,新福路,宝工厂河滩小区,60,整租,南,600,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,卧龙寺,龙丰苑住宅小区,55,整租,东,800,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,上馬营東二小區,48,整租,南,650,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,5,无,暂无数据,民水,暂无数据,有,集中供暖
宝鸡,金台,上马营,上马营华苑北区,40,整租,南,600,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,5,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,火车站,农机公司家属院,50,整租,南,650,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,4,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,桥南,中滩路11号院,80,整租,南,850,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,呈星佳苑,75,整租,南,750,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,桥南,化机小区,100,整租,南,900,,3,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
宝鸡,金台,上马营,宝鸡供电局家属院北区,79,整租,南,700,,2,2,1,随时入住,暂无数据,需提前预约,低楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,石坝河,雨虹馨园,73,整租,南,750,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,盟盛花园小区,87,整租,东,900,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,盟盛花园小区,87,整租,东,900,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,东风嘉苑,88,整租,东,700,,2,1,1,随时入住,2年以内,需提前预约,中楼层,32,有,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,群众路,五里新村小区,83,整租,南,700,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,呈星佳苑,75,整租,南,750,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,新福路,宝福路127号院,72,整租,南,600,,2,2,1,随时入住,1年以内,需提前预约,高楼层,6,无,租用车位,民水,民电,有,集中供暖
宝鸡,金台,上马营,金陵路25号,59,整租,南,600,,2,1,0,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
宝鸡,渭滨,高新区,新起点家园A区,79,整租,南,700,,2,1,1,随时入住,1年以内,需提前预约,高楼层,18,有,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,东风路街道西社区,63,整租,南,750,半年付价,2,1,1,随时入住,3年以内,需提前预约,中楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,新福路,宝福路97号院,78,整租,南,700,,2,2,1,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,工行家属区,66,整租,南,700,半年付价,2,1,1,随时入住,1年以内,需提前预约,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,高新区,高新锦园,138,整租,东,800,季付价,3,2,2,随时入住,暂无数据,需提前预约,中楼层,25,有,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,群众路,建华小区,80,整租,南,700,半年付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,大庆路,纺西村小区,56,整租,东,500,年付价,2,1,1,随时入住,1年以内,需提前预约,低楼层,7,无,租用车位,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,清姜,清姜小区,83,整租,南,850,,2,1,1,随时入住,暂无数据,需提前预约,低楼层,16,有,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,上马营,67,整租,南,700,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,大庆路,陕棉十二厂东新村,60,整租,南,500,季付价,2,1,0,随时入住,1年以内,需提前预约,高楼层,4,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
宝鸡,渭滨,桥南,姜中小区,59,整租,南,780,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,火车站,石油西厂家属院,68,整租,南,650,年付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,石坝河,宝光社区北区,61,整租,南,900,,2,1,1,随时入住,1年以内,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,火车站,宝鸡供电局西区家属院,70,整租,南,700,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,华苑,56,整租,南,700,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,东风路街道西社区,68,整租,南,600,,3,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,火车站,宝运二村,56,整租,南,550,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,峪泉路6号院,115,整租,东,1000,,2,2,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,大庆路,陕棉十二厂西新村小区,68,整租,南,650,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,桥南,火炬路一号小区,90,整租,南,950,,2,2,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,新福路,水泥厂家属院,74,整租,南,600,,2,2,1,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,大庆路,电力新苑,94,整租,南,800,半年付价,3,2,1,随时入住,1年以内,需提前预约,高楼层,7,无,免费使用,民水,民电,无,集中供暖
宝鸡,金台,火车站,曙光新村,60,整租,南,650,,2,2,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,姜谭路,宝鸡氮肥厂小区,60,整租,南,700,,2,2,1,随时入住,暂无数据,需提前预约,低楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,火车站,曙光新村,60,整租,南,650,,2,2,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,石坝河,西宝路52号,83,整租,南,1000,,2,1,1,随时入住,暂无数据,需提前预约,低楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,大庆路,宝鸡供电局东区家属院,73,整租,南,1100,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,火车站,新建路49号大院,45,整租,南,600,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,暂无数据,暂无数据,有,暂无数据
宝鸡,金台,上马营,跃进铁路南区,45,整租,南,680,,1,1,1,随时入住,暂无数据,需提前预约,低楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,上马营,西铁宝鸡机务小区,43,整租,南,550,,1,1,1,随时入住,暂无数据,一般下班后可看,高楼层,4,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,桥南,化机小区,46,整租,东,500,年付价,2,1,1,随时入住,暂无数据,需提前预约,中楼层,5,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,上馬营東二小區,52,整租,南,800,半年付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,東一小區,52,整租,东,700,季付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,上马营,東一小區,52,整租,东,800,季付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,上马营华苑北区,46,整租,南,700,,1,1,1,随时入住,暂无数据,需提前预约,中楼层,5,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,东站西区家属院,47,整租,南,500,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,5,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,上马营,東一小區,52,整租,南,750,,2,1,1,随时入住,1年以内,需提前预约,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,上马营,铁一中家属院,53,整租,南,710,,2,1,1,随时入住,1年以内,需提前预约,低楼层,6,无,免费使用,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,华夏盛世佳园,47,整租,西,1000,,1,1,1,随时入住,暂无数据,需提前预约,低楼层,26,有,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,大庆路,工农新苑,85,整租,西,800,,2,2,1,随时入住,暂无数据,需提前预约,高楼层,33,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,清姜,宝成社区西苑小区,60,整租,南,850,,2,1,1,随时入住,暂无数据,需提前预约,低楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,大庆路,经纬花园,69,整租,南,600,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,桥南,中行火炬路家属院,90,整租,南,1000,年付价,2,2,2,随时入住,1年以内,需提前预约,中楼层,7,无,免费使用,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,陕七建小区,67,整租,南,750,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,石坝河,雨虹馨园,71,整租,南,900,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,新福路,宝工厂河滩小区,58,整租,南,700,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,清姜,长岭安居小区,78,整租,南,850,半年付价,2,1,1,随时入住,2年以内,一般下班后可看,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,火车站,宝鸡二建家属院,59,整租,南,800,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,清姜,宝鸡市气象局生活区,76,整租,南,900,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,药玻小区,55,整租,南,600,,2,1,1,随时入住,暂无数据,需提前预约,中楼层,5,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,金台,上马营,铁路小区,50,整租,南,550,,2,0,1,随时入住,暂无数据,需提前预约,高楼层,5,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,华夏盛世佳园,43,整租,北,1000,,1,0,1,随时入住,暂无数据,需提前预约,低楼层,26,有,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,火车站,新民路小区,100,整租,南,800,,3,1,1,随时入住,暂无数据,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,药玻小区,62,整租,南,600,半年付价,2,1,1,随时入住,1年以内,需提前预约,高楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,桥南,太白路5号院,60,整租,东,800,半年付价,2,1,1,随时入住,1年以内,需提前预约,中楼层,7,无,暂无数据,民水,民电,有,集中供暖
宝鸡,渭滨,石坝河,宝鸡文理学院文理学村,1000,整租,南,1000,,3,2,1,随时入住,暂无数据,需提前预约,高楼层,6,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
宝鸡,渭滨,火车站,汉东小区,89,整租,南,1000,,2,2,1,随时入住,暂无数据,需提前预约,中楼层,6,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
宝鸡,渭滨,火车站,嘉隆国际,46,整租,东,1000,,1,1,1,随时入住,暂无数据,需提前预约,中楼层,22,有,暂无数据,民水,民电,有,集中供暖
宝鸡,金台,大庆路,苗圃小区,45,整租,南,530,年付价,2,1,1,随时入住,1年以内,需提前预约,中楼层,5,无,暂无数据,暂无数据,暂无数据,有,集中供暖
宝鸡,渭滨,火车站,新开路社区,50,整租,南,700,,2,0,1,随时入住,暂无数据,需提前预约,中楼层,7,无,暂无数据,暂无数据,暂无数据,有,暂无数据
宝鸡,渭滨,火车站,建国路,54,整租,北,750,,2,1,1,随时入住,暂无数据,需提前预约,高楼层,5,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
