房源编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
BAOJI2565730736476782592,宝鸡,渭滨区,石坝河,宝鸡文理学院家属院,60㎡,整租,东南/南,900元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2562342724279730176,宝鸡,渭滨区,清姜,长岭安居小区,77㎡,整租,东,800元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2491214306294120448,宝鸡,渭滨区,火车站,新华巷,60㎡,整租,南/北,500元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2494847266784026624,宝鸡,渭滨区,清姜,清姜路宝桥社区,61㎡,整租,南/北,700元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2515143849853599744,宝鸡,金台区,新福路,豪城天下A东,66㎡,整租,南,650元/月,,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2547629286177906688,宝鸡,渭滨区,火车站,渭工路44号楼,83㎡,整租,南/北,850元/月,半年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2548315109365645312,宝鸡,金台区,上马营,东站东区,66㎡,整租,南,600元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2503393501837008896,宝鸡,金台区,大庆路,宝鸡供电局东区家属院,68㎡,整租,南/北,800元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2505656144354623488,宝鸡,渭滨区,桥南,凌云花园小区,102㎡,整租,南/北,1000元/月,半年付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,租用车位,民水,民电,有,集中供暖
BAOJI2530256231495909376,宝鸡,金台区,上马营,电气化社区,56㎡,整租,南/北,600元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,5层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2528929385537339392,宝鸡,金台区,群众路,永兴巷45号,63㎡,整租,南,600元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2529478748781420544,宝鸡,渭滨区,桥南,陕西二建集团广元路22号院,88㎡,整租,南/北,1000元/月,,3室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2559907359401459712,宝鸡,渭滨区,清姜,长岭祥和小区,65㎡,整租,南/北,750元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2560759289451397120,宝鸡,渭滨区,石坝河,龙山雅居,60㎡,整租,东北,950元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,26层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2537619679884099584,宝鸡,金台区,大庆路,油毡厂小区,45㎡,整租,南/北,600元/月,半年付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,4层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2548561250284216320,宝鸡,渭滨区,高新区,阳光上东,18㎡,整租,南/北,800元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2543496783250857984,宝鸡,金台区,上马营,宝石东厂社区,40㎡,整租,东/西,600元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2553608680407318528,宝鸡,渭滨区,高新区,阳光上东,40㎡,整租,南,800元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2386672184216535040,宝鸡,渭滨区,高新区,阳光上东,40㎡,整租,南,950元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2533992751414902784,宝鸡,渭滨区,高新区,阳光上东,40㎡,整租,北,900元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2352057082259447808,宝鸡,金台区,大庆路,宏文路68号院,50㎡,整租,南,650元/月,,2室,1厅,1卫,暂无数据,暂无数据,暂无数据,中楼层,5层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2513038001157193728,宝鸡,渭滨区,高新区,宏运警苑,37㎡,整租,东,1000元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,13层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2565758631610163200,宝鸡,渭滨区,火车站,陕建二建集团北院,72㎡,整租,南/北,950元/月,,2室,1厅,1卫,2020-08-01,暂无数据,需提前预约,高楼层,5层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2475876519625900032,宝鸡,渭滨区,石坝河,石鼓天玺台,116㎡,整租,东南,1000元/月,,2室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,24层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2384035868806750208,宝鸡,金台区,上马营,上马营,43㎡,整租,南/北,500元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2564282022449659904,宝鸡,渭滨区,火车站,解放新村,51㎡,整租,南/北,500元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2563596311761272832,宝鸡,金台区,新福路,宝工厂河滩小区,65㎡,整租,南/北,800元/月,,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2563544234720501760,宝鸡,渭滨区,清姜,凌云电器总公司二现场住宅小区,69㎡,整租,南/北,900元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2563583633117937664,宝鸡,渭滨区,火车站,渭工路63号,85㎡,整租,南/北,750元/月,,3室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2565046198448685056,宝鸡,金台区,上马营,宝铁华苑小区,65㎡,整租,南/北,850元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2478913604372398080,宝鸡,渭滨区,桥南,中滩路11号院,79㎡,整租,东南,800元/月,,3室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2478255138792275968,宝鸡,金台区,上马营,蟠龙花园,80㎡,整租,南,700元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2498310766864629760,宝鸡,金台区,新福路,宝福路97号院,65㎡,整租,南/北,650元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2516574924702236672,宝鸡,金台区,上马营,宝鸡供电局家属院北区,80㎡,整租,南,800元/月,半年付价,2室,2厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2514261330752708608,宝鸡,渭滨区,火车站,建国新村,54㎡,整租,南,800元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2512782050550366208,宝鸡,渭滨区,桥南,农牧良种场家属院,93㎡,整租,南/北,900元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2521715473968529408,宝鸡,渭滨区,姜谭路,宝管一区,80㎡,整租,南,850元/月,半年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,5层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2519607335970668544,宝鸡,渭滨区,火车站,金陵新村二区,63㎡,整租,南/北,600元/月,,3室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2521699060785102848,宝鸡,金台区,群众路,人民路社区,54㎡,整租,南/北,500元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,8层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2542765780051959808,宝鸡,渭滨区,高新区,宝钛新区,60㎡,整租,北,900元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2541947873307148288,宝鸡,渭滨区,桥南,绿舟小区,65㎡,整租,东,750元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2557985161861922816,宝鸡,渭滨区,桥南,公园家属小区,87㎡,整租,南/北,750元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,免费使用,民水,民电,有,集中供暖
BAOJI2553564573047193600,宝鸡,渭滨区,高新区,阳光上东,72㎡,整租,北,1000元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2555706758199263232,宝鸡,渭滨区,桥南,凌云·锦绣,92㎡,整租,南,1000元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,18层,有,租用车位,民水,民电,有,集中供暖
BAOJI2489873313677967360,宝鸡,渭滨区,高新区,樸西佳苑,96㎡,整租,南,900元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,24层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2499743050411556864,宝鸡,渭滨区,桥南,轩苑御园华庭,98㎡,整租,南/北,800元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,低楼层,33层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2505695946722525184,宝鸡,渭滨区,石坝河,雨虹馨园,71㎡,整租,南,800元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2511601302383886336,宝鸡,渭滨区,高新区,樸西佳苑,120㎡,整租,南,900元/月,,3室,2厅,2卫,随时入住,2年以内,需提前预约,低楼层,18层,无,免费使用,暂无数据,暂无数据,有,集中供暖
BAOJI2508091540044521472,宝鸡,渭滨区,桥南,西一路4号院,62㎡,整租,南/北,750元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2523165084696444928,宝鸡,金台区,大庆路,宝鸡供电局东区家属院,77㎡,整租,南/北,750元/月,年付价,2室,2厅,1卫,随时入住,2年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2555706758199263232,宝鸡,渭滨区,桥南,凌云·锦绣,92㎡,整租,南,1000元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,18层,有,租用车位,民水,民电,有,集中供暖
BAOJI2557966506486923264,宝鸡,渭滨区,桥南,陕开社区,76㎡,整租,东南,850元/月,,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2559179880810160128,宝鸡,金台区,陈仓园,检察院家属楼,70㎡,整租,南/北,800元/月,,2室,1厅,1卫,随时入住,暂无数据,一般下班后可看,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2537649645367607296,宝鸡,金台区,大庆路,戴家湾小区,95㎡,整租,南,800元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,27层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2371762277339627520,宝鸡,金台区,三迪,光明小区A区,90㎡,整租,南,700元/月,半年付价,2室,2厅,1卫,随时入住,3年以上,需提前预约,低楼层,33层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2505622219565039616,宝鸡,渭滨区,火车站,九华园,104㎡,整租,南/北,1000元/月,,2室,1厅,2卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2515003337792307200,宝鸡,金台区,新福路,新福园二区,76㎡,整租,南/北,600元/月,,2室,2厅,1卫,随时入住,暂无数据,一般下班后可看,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2561514371486318592,宝鸡,渭滨区,桥南,陕西二建集团广元路22号院,62㎡,整租,南/北,1000元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2508643500208431104,宝鸡,金台区,上马营,東一小區,48㎡,整租,南,750元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2526680953548439552,宝鸡,金台区,上马营,東一小區,48㎡,整租,南,800元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2553414843843477504,宝鸡,金台区,上马营,東一小區,52㎡,整租,南/北,700元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2559345205887377408,宝鸡,渭滨区,高新区,阳光上东,48㎡,整租,北,900元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2555071205967675392,宝鸡,渭滨区,高新区,阳光上东,40㎡,整租,南,1000元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2513039052400230400,宝鸡,渭滨区,高新区,宏运警苑,37㎡,整租,东,1000元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,13层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2560727416733704192,宝鸡,金台区,新福路,金利苑二期,12㎡,整租,北,320元/月,,1室,0厅,1卫,随时入住,暂无数据,需提前预约,中楼层,24层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2539321284177960960,宝鸡,金台区,上马营,上馬营東二小區,30㎡,整租,南/北,400元/月,,2室,0厅,1卫,随时入住,暂无数据,需提前预约,中楼层,4层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2324520962336497664,宝鸡,金台区,卧龙寺,朝阳华城,122㎡,整租,南/北,600元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2512097387934392320,宝鸡,金台区,群众路,宝平路轴承厂,60㎡,整租,东/西,600元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,民电,有,集中供暖
BAOJI2420044619284234240,宝鸡,金台区,上马营,汽配小区,72㎡,整租,南/北,600元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2505071637884305408,宝鸡,金台区,新福路,宝工厂河滩小区,60㎡,整租,南/北,600元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2520212848748544000,宝鸡,渭滨区,卧龙寺,龙丰苑住宅小区,55㎡,整租,东南/南,800元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2552113152637026304,宝鸡,金台区,上马营,上馬营東二小區,48㎡,整租,南/北,650元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,5层,无,暂无数据,民水,暂无数据,有,集中供暖
BAOJI2400583488882614272,宝鸡,金台区,上马营,上马营华苑北区,40㎡,整租,南,600元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,5层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2490384774255362048,宝鸡,渭滨区,火车站,农机公司家属院,50㎡,整租,南,650元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,4层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2346108287893905408,宝鸡,渭滨区,桥南,中滩路11号院,80㎡,整租,南,850元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2499791760424189952,宝鸡,渭滨区,桥南,呈星佳苑,75㎡,整租,南/北,750元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2501201320883519488,宝鸡,渭滨区,桥南,化机小区,100㎡,整租,南/北,900元/月,,3室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2507235947091853312,宝鸡,金台区,上马营,宝鸡供电局家属院北区,79㎡,整租,南/北,700元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2529467764595499008,宝鸡,渭滨区,石坝河,雨虹馨园,73㎡,整租,南,750元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2536740985451315200,宝鸡,渭滨区,桥南,盟盛花园小区,87㎡,整租,东/西,900元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2536740985451315200,宝鸡,渭滨区,桥南,盟盛花园小区,87㎡,整租,东/西,900元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2541371484056584192,宝鸡,金台区,上马营,东风嘉苑,88㎡,整租,东南,700元/月,,2室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,32层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2542009665722785792,宝鸡,金台区,群众路,五里新村小区,83㎡,整租,南/北,700元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2499791760424189952,宝鸡,渭滨区,桥南,呈星佳苑,75㎡,整租,南/北,750元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2495603235747012608,宝鸡,金台区,新福路,宝福路127号院,72㎡,整租,南/北,600元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,租用车位,民水,民电,有,集中供暖
BAOJI2497775172933918720,宝鸡,金台区,上马营,金陵路25号,59㎡,整租,南/北,600元/月,,2室,1厅,0卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2490356247333699584,宝鸡,渭滨区,高新区,新起点家园A区,79㎡,整租,南,700元/月,,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2360853099976851456,宝鸡,金台区,上马营,东风路街道西社区,63㎡,整租,南,750元/月,半年付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2379676971669405696,宝鸡,金台区,新福路,宝福路97号院,78㎡,整租,南/北,700元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2426567846600646656,宝鸡,渭滨区,桥南,工行家属区,66㎡,整租,南/北,700元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2428026894906826752,宝鸡,渭滨区,高新区,高新锦园,138㎡,整租,东,800元/月,季付价,3室,2厅,2卫,随时入住,暂无数据,需提前预约,中楼层,25层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2488384443778072576,宝鸡,金台区,群众路,建华小区,80㎡,整租,南/北,700元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2478763765848883200,宝鸡,金台区,大庆路,纺西村小区,56㎡,整租,东,500元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,7层,无,租用车位,暂无数据,暂无数据,有,集中供暖
BAOJI2502685508799569920,宝鸡,渭滨区,清姜,清姜小区,83㎡,整租,南/北,850元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,16层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2518123036721823744,宝鸡,金台区,上马营,上马营,67㎡,整租,南,700元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2531699981648404480,宝鸡,金台区,大庆路,陕棉十二厂东新村,60㎡,整租,南,500元/月,季付价,2室,1厅,0卫,随时入住,1年以内,需提前预约,高楼层,4层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2541859492316839936,宝鸡,渭滨区,桥南,姜中小区,59㎡,整租,南,780元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2541978663197614080,宝鸡,渭滨区,火车站,石油西厂家属院,68㎡,整租,南/北,650元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2540640099360571392,宝鸡,渭滨区,石坝河,宝光社区北区,61㎡,整租,南/北,900元/月,,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2546319383119003648,宝鸡,金台区,火车站,宝鸡供电局西区家属院,70㎡,整租,南/北,700元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2554314884028301312,宝鸡,渭滨区,桥南,华苑,56㎡,整租,南,700元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2354143865713467392,宝鸡,金台区,上马营,东风路街道西社区,68㎡,整租,南,600元/月,,3室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2512837197410353152,宝鸡,渭滨区,火车站,宝运二村,56㎡,整租,南,550元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2529530963865124864,宝鸡,渭滨区,桥南,峪泉路6号院,115㎡,整租,东/西,1000元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2542222795782766592,宝鸡,金台区,大庆路,陕棉十二厂西新村小区,68㎡,整租,南,650元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2486156322077417472,宝鸡,渭滨区,桥南,火炬路一号小区,90㎡,整租,南,950元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2467513464004804608,宝鸡,金台区,新福路,水泥厂家属院,74㎡,整租,南/北,600元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2548565073308155904,宝鸡,金台区,大庆路,电力新苑,94㎡,整租,南,800元/月,半年付价,3室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,免费使用,民水,民电,无,集中供暖
BAOJI2500590035351642112,宝鸡,金台区,火车站,曙光新村,60㎡,整租,南/北,650元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2482382355881533440,宝鸡,渭滨区,姜谭路,宝鸡氮肥厂小区,60㎡,整租,南/北,700元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
